LGA19_source,LGA19_target,date,time,region,n_trips
10500,11500,3/1/21,800,NSW,25.5135377
10500,11500,3/1/21,1600,NSW,14.63066292
10500,11520,1/1/21,0,NSW,36.17420437
10500,11520,1/1/21,800,NSW,38.46833133
10500,11520,1/1/21,1600,NSW,31.08472819
10500,11520,2/1/21,0,NSW,36.62813451
10500,11520,2/1/21,800,NSW,43.95318748
10500,11520,2/1/21,1600,NSW,31.08806446
10500,11520,3/1/21,0,NSW,34.25503434
10500,11520,3/1/21,800,NSW,41.11100057
10500,11520,3/1/21,1600,NSW,40.81179191
10500,11570,1/1/21,0,NSW,584.3705756
10500,11570,1/1/21,800,NSW,678.9343903
10500,11570,1/1/21,1600,NSW,583.1152353
10500,11570,2/1/21,0,NSW,565.2801533
10500,11570,2/1/21,800,NSW,707.6545256
10500,11570,2/1/21,1600,NSW,582.6223432
10500,11570,3/1/21,0,NSW,582.4606371
10500,11570,3/1/21,800,NSW,695.2192994
10500,11570,3/1/21,1600,NSW,613.7954687
10500,11650,1/1/21,800,NSW,0.762886897
10500,12380,1/1/21,0,NSW,51.62867353
10500,12380,1/1/21,800,NSW,74.93912642
10500,12380,1/1/21,1600,NSW,49.67452326
10500,12380,2/1/21,0,NSW,54.28015311
10500,12380,2/1/21,800,NSW,82.59580565
10500,12380,2/1/21,1600,NSW,46.32780126
10500,12380,3/1/21,0,NSW,48.02582866
10500,12380,3/1/21,800,NSW,71.8474809
10500,12380,3/1/21,1600,NSW,75.33687153
10500,12850,1/1/21,0,NSW,26.98560346
10500,12850,1/1/21,800,NSW,40.00548062
10500,12850,1/1/21,1600,NSW,18.34820838
10500,12850,2/1/21,0,NSW,28.20108528
10500,12850,2/1/21,800,NSW,42.63562743
10500,12850,2/1/21,1600,NSW,16.28012899
10500,12850,3/1/21,0,NSW,22.69207553
10500,12850,3/1/21,800,NSW,37.01639321
10500,12850,3/1/21,1600,NSW,43.99929842
10500,12930,1/1/21,0,NSW,2179.065245
10500,12930,1/1/21,800,NSW,2434.164517
10500,12930,1/1/21,1600,NSW,2197.181742
10500,12930,2/1/21,0,NSW,2075.003157
10500,12930,2/1/21,800,NSW,2330.110719
10500,12930,2/1/21,1600,NSW,2216.524358
10500,12930,3/1/21,0,NSW,2155.394372
10500,12930,3/1/21,800,NSW,2462.427165
10500,12930,3/1/21,1600,NSW,2146.315909
10500,13800,1/1/21,0,NSW,0.006290772
10500,13800,1/1/21,800,NSW,0.012168691
10500,13800,2/1/21,0,NSW,0.004212388
10500,13800,2/1/21,800,NSW,0.008190755
10500,13800,3/1/21,800,NSW,0.008424776
10500,13800,3/1/21,1600,NSW,0.007777472
10500,14000,1/1/21,0,NSW,5.190472745
10500,14000,1/1/21,800,NSW,6.785273335
10500,14000,1/1/21,1600,NSW,3.3004326
10500,14000,2/1/21,0,NSW,8.506413768
10500,14000,2/1/21,800,NSW,7.674113525
10500,14000,2/1/21,1600,NSW,3.162771289
10500,14000,3/1/21,0,NSW,5.596026307
10500,14000,3/1/21,800,NSW,6.329753128
10500,14000,3/1/21,1600,NSW,7.907819568
10500,14100,1/1/21,0,NSW,4.413283936
10500,14100,1/1/21,800,NSW,4.489680959
10500,14100,1/1/21,1600,NSW,3.519622304
10500,14100,2/1/21,0,NSW,4.589961366
10500,14100,2/1/21,800,NSW,5.432221962
10500,14100,2/1/21,1600,NSW,3.50561512
10500,14100,3/1/21,0,NSW,4.132719391
10500,14100,3/1/21,800,NSW,4.902018703
10500,14100,3/1/21,1600,NSW,5.224899461
10500,14170,1/1/21,0,NSW,848.4756439
10500,14170,1/1/21,800,NSW,948.776315
10500,14170,1/1/21,1600,NSW,863.4662554
10500,14170,2/1/21,0,NSW,832.8743001
10500,14170,2/1/21,800,NSW,942.4728905
10500,14170,2/1/21,1600,NSW,871.2660607
10500,14170,3/1/21,0,NSW,858.0063535
10500,14170,3/1/21,800,NSW,966.618314
10500,14170,3/1/21,1600,NSW,881.5549934
10500,14500,1/1/21,0,NSW,9.416162103
10500,14500,1/1/21,800,NSW,7.241492793
